review_id,user_id,restaurant_id,order_id,rating,review_text
REV_00001,USR_0089,RES_041,ORD_000234,5,Super fast delivery and delicious taste.
REV_00002,USR_0242,RES_037,ORD_001374,4,Very satisfying experience overall.
REV_00003,USR_0075,RES_028,ORD_000825,3,Slightly overpriced for the quantity.
REV_00004,USR_0026,RES_027,ORD_001036,5,Best meal of the week!
REV_00005,USR_0170,RES_026,ORD_001152,5,Absolutely loved the packaging and taste.
REV_00006,USR_0177,RES_043,ORD_001240,5,Absolutely loved the packaging and taste.
REV_00007,USR_0160,RES_026,ORD_001253,5,Amazing food! Highly recommended.
REV_00008,USR_0145,RES_043,ORD_000417,1,Complete waste of money.
REV_00009,USR_0168,RES_001,ORD_000946,3,"Average taste, could be better."
REV_00010,USR_0017,RES_028,ORD_000256,2,Food was cold and bland.
REV_00011,USR_0069,RES_011,ORD_000826,4,"Solid packaging, arrived hot."
REV_00012,USR_0216,RES_040,ORD_001020,4,"Good portion size, food was tasty."
REV_00013,USR_0089,RES_018,ORD_000553,4,"Good portion size, food was tasty."
REV_00014,USR_0071,RES_041,ORD_000136,5,Amazing food! Highly recommended.
REV_00015,USR_0138,RES_021,ORD_000804,1,"Never ordering from here again, missing items."
REV_00016,USR_0067,RES_028,ORD_000383,3,"Average taste, could be better."
REV_00017,USR_0225,RES_040,ORD_001145,5,Super fast delivery and delicious taste.
REV_00018,USR_0210,RES_009,ORD_001000,1,Stale food delivered.
REV_00019,USR_0066,RES_008,ORD_000099,3,Food was okay but delivery took too long.
REV_00020,USR_0171,RES_024,ORD_000924,3,Slightly overpriced for the quantity.
REV_00021,USR_0171,RES_024,ORD_001109,5,Best meal of the week!
REV_00022,USR_0019,RES_010,ORD_000131,4,"Good portion size, food was tasty."
REV_00023,USR_0094,RES_032,ORD_000205,4,"Good portion size, food was tasty."
REV_00024,USR_0244,RES_035,ORD_001381,5,Super fast delivery and delicious taste.
REV_00025,USR_0195,RES_035,ORD_000673,4,"Solid packaging, arrived hot."
REV_00026,USR_0137,RES_023,ORD_000731,5,Amazing food! Highly recommended.
REV_00027,USR_0152,RES_018,ORD_000505,5,Amazing food! Highly recommended.
REV_00028,USR_0165,RES_044,ORD_000936,4,"Solid packaging, arrived hot."
REV_00029,USR_0017,RES_028,ORD_000006,5,Best meal of the week!
REV_00030,USR_0095,RES_049,ORD_001077,3,Food was okay but delivery took too long.
REV_00031,USR_0222,RES_030,ORD_001389,5,Absolutely loved the packaging and taste.
REV_00032,USR_0012,RES_050,ORD_000247,4,"Good portion size, food was tasty."
REV_00033,USR_0144,RES_011,ORD_001371,4,"Solid packaging, arrived hot."
REV_00034,USR_0082,RES_025,ORD_000558,5,Amazing food! Highly recommended.
REV_00035,USR_0186,RES_041,ORD_000661,5,Amazing food! Highly recommended.
REV_00036,USR_0176,RES_045,ORD_000898,5,Absolutely loved the packaging and taste.
REV_00037,USR_0090,RES_033,ORD_000259,2,"Extremely late delivery, ruined the mood."
REV_00038,USR_0041,RES_024,ORD_000056,5,Amazing food! Highly recommended.
REV_00039,USR_0006,RES_005,ORD_000840,5,Super fast delivery and delicious taste.
REV_00040,USR_0056,RES_002,ORD_000079,3,Food was okay but delivery took too long.
REV_00041,USR_0050,RES_003,ORD_000095,4,Very satisfying experience overall.
REV_00042,USR_0234,RES_042,ORD_001270,2,"Extremely late delivery, ruined the mood."
REV_00043,USR_0033,RES_049,ORD_000752,5,Absolutely loved the packaging and taste.
REV_00044,USR_0186,RES_032,ORD_000901,4,"Good portion size, food was tasty."
REV_00045,USR_0048,RES_020,ORD_000046,4,Very satisfying experience overall.
