order_id,user_id,restaurant_id,order_date,amount,payment_mode,order_status,delivery_time_mins
ORD_000001,USR_0004,RES_012,2025-01-10,303.73,UPI,Delivered,32.0
ORD_000002,USR_0003,RES_025,2025-01-12,1023.85,COD,Delivered,28.0
ORD_000003,USR_0010,RES_033,2025-02-06,1437.64,Debit Card,Cancelled,
ORD_000004,USR_0008,RES_025,2025-02-08,1727.23,COD,Delivered,44.0
ORD_000005,USR_0016,RES_023,2025-02-10,1707.19,Credit Card,Delivered,51.0
ORD_000006,USR_0017,RES_028,2025-02-18,1624.88,Debit Card,Delivered,40.0
ORD_000007,USR_0010,RES_009,2025-02-24,1736.36,Net Banking,Delivered,62.0
ORD_000008,USR_0008,RES_039,2025-02-28,434.09,Debit Card,Cancelled,
ORD_000009,USR_0020,RES_012,2025-03-04,1028.17,Credit Card,Delivered,18.0
ORD_000010,USR_0019,RES_005,2025-03-08,1056.59,Debit Card,Cancelled,
ORD_000011,USR_0014,RES_017,2025-03-13,873.54,Net Banking,Delivered,39.0
ORD_000012,USR_0022,RES_001,2025-03-14,1259.05,Debit Card,Delivered,22.0
ORD_000013,USR_0017,RES_006,2025-03-17,415.29,UPI,Delivered,53.0
ORD_000014,USR_0001,RES_034,2025-03-19,304.14,COD,Delivered,41.0
ORD_000015,USR_0030,RES_043,2025-03-20,453.76,Debit Card,Delivered,41.0
ORD_000016,USR_0030,RES_049,2025-03-23,1330.66,COD,Cancelled,
ORD_000017,USR_0030,RES_003,2025-03-23,901.86,Net Banking,Delivered,25.0
ORD_000018,USR_0014,RES_031,2025-03-27,999.24,UPI,Delivered,54.0
ORD_000019,USR_0011,RES_049,2025-03-30,1346.21,COD,Delivered,48.0
ORD_000020,USR_0038,RES_040,2025-03-31,822.05,UPI,Delivered,26.0
ORD_000021,USR_0019,RES_025,2025-03-31,279.15,Debit Card,Cancelled,
ORD_000022,USR_0031,RES_044,2025-04-03,1593.69,UPI,Delivered,36.0
ORD_000023,USR_0026,RES_048,2025-04-05,1703.24,UPI,Delivered,16.0
ORD_000024,USR_0019,RES_047,2025-04-05,655.34,Credit Card,Delivered,19.0
ORD_000025,USR_0038,RES_050,2025-04-06,968.61,UPI,Delivered,55.0
ORD_000026,USR_0012,RES_027,2025-04-09,196.95,Credit Card,Cancelled,
ORD_000027,USR_0022,RES_041,2025-04-17,1561.76,Credit Card,Delivered,49.0
ORD_000028,USR_0018,RES_022,2025-04-20,1695.99,UPI,Delivered,54.0
ORD_000029,USR_0012,RES_026,2025-04-21,1561.83,UPI,Delivered,58.0
ORD_000030,USR_0027,RES_044,2025-04-23,1432.56,Debit Card,Delivered,64.0
ORD_000031,USR_0033,RES_023,2025-04-24,1340.21,COD,Delivered,33.0
ORD_000032,USR_0044,RES_020,2025-04-26,1052.25,Debit Card,Cancelled,
ORD_000033,USR_0022,RES_006,2025-05-03,423.41,UPI,Cancelled,
ORD_000034,USR_0016,RES_023,2025-05-03,572.61,Debit Card,Delivered,54.0
ORD_000035,USR_0006,RES_010,2025-05-03,1081.86,UPI,Delivered,46.0
ORD_000036,USR_0014,RES_014,2025-05-04,1367.73,UPI,Delivered,37.0
ORD_000037,USR_0017,RES_031,2025-05-04,862.8,Net Banking,Delivered,37.0
ORD_000038,USR_0042,RES_026,2025-05-05,1624.94,UPI,Delivered,44.0
ORD_000039,USR_0010,RES_044,2025-05-05,1513.49,UPI,Delivered,32.0
ORD_000040,USR_0011,RES_042,2025-05-06,725.98,UPI,Delivered,20.0
ORD_000041,USR_0007,RES_035,2025-05-07,224.64,Credit Card,Cancelled,
ORD_000042,USR_0017,RES_029,2025-05-10,851.43,UPI,Cancelled,
ORD_000043,USR_0034,RES_038,2025-05-10,159.9,Debit Card,Delivered,60.0
ORD_000044,USR_0013,RES_044,2025-05-11,937.93,COD,Delivered,45.0
ORD_000045,USR_0029,RES_032,2025-05-11,1360.6,Credit Card,Cancelled,
ORD_000046,USR_0048,RES_020,2025-05-11,593.95,Net Banking,Delivered,23.0
ORD_000047,USR_0033,RES_003,2025-05-12,1477.74,COD,Delivered,41.0
ORD_000048,USR_0025,RES_043,2025-05-12,348.07,Net Banking,Delivered,24.0
ORD_000049,USR_0046,RES_038,2025-05-14,657.06,Credit Card,Delivered,59.0
ORD_000050,USR_0005,RES_013,2025-05-14,1207.37,Net Banking,Delivered,33.0
ORD_000051,USR_0017,RES_005,2025-05-15,1429.64,Debit Card,Cancelled,
ORD_000052,USR_0048,RES_045,2025-05-15,1799.34,Credit Card,Cancelled,
ORD_000053,USR_0031,RES_034,2025-05-16,1503.72,COD,Delivered,32.0
ORD_000054,USR_0021,RES_025,2025-05-19,684.43,Debit Card,Delivered,47.0
ORD_000055,USR_0039,RES_004,2025-05-24,1601.01,Debit Card,Delivered,17.0
ORD_000056,USR_0041,RES_024,2025-05-25,454.62,UPI,Delivered,62.0
ORD_000057,USR_0037,RES_022,2025-05-25,845.4,Net Banking,Delivered,41.0
ORD_000058,USR_0023,RES_040,2025-05-25,1626.05,Debit Card,Delivered,55.0
ORD_000059,USR_0025,RES_050,2025-05-26,201.73,Debit Card,Delivered,34.0
ORD_000060,USR_0018,RES_012,2025-05-31,1765.56,Credit Card,Delivered,59.0
ORD_000061,USR_0058,RES_043,2025-06-01,372.84,COD,Delivered,28.0
ORD_000062,USR_0025,RES_048,2025-06-02,559.41,Credit Card,Delivered,38.0
ORD_000063,USR_0014,RES_017,2025-06-04,189.21,UPI,Cancelled,
ORD_000064,USR_0052,RES_010,2025-06-05,815.9,UPI,Delivered,43.0
ORD_000065,USR_0057,RES_043,2025-06-07,1690.1,Net Banking,Delivered,19.0
ORD_000066,USR_0013,RES_033,2025-06-07,183.78,Credit Card,Delivered,18.0
ORD_000067,USR_0024,RES_038,2025-06-07,1433.62,Net Banking,Delivered,37.0
ORD_000068,USR_0063,RES_024,2025-06-08,1530.96,Credit Card,Cancelled,
ORD_000069,USR_0045,RES_016,2025-06-08,238.82,Net Banking,Delivered,53.0
ORD_000070,USR_0030,RES_003,2025-06-10,1770.07,UPI,Delivered,31.0
ORD_000071,USR_0045,RES_025,2025-06-10,764.27,COD,Delivered,42.0
ORD_000072,USR_0010,RES_047,2025-06-13,924.14,Debit Card,Delivered,25.0
ORD_000073,USR_0017,RES_002,2025-06-14,1054.0,Credit Card,Delivered,50.0
ORD_000074,USR_0047,RES_021,2025-06-15,1024.54,Net Banking,Delivered,17.0
